Purity	Accuracy	a	b
0.24549045	0.8252931707623589	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.24649245	0.8260918134410592	[0.822, 0.83]	----------------------------------------------------------------------------------||----------------
0.24749444	0.8250540929848297	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.24849644	0.825225958587653	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.24949844	0.8257245153642281	[0.822, 0.829]	----------------------------------------------------------------------------------|-----------------
0.25050044	0.8256691765153867	[0.822, 0.829]	----------------------------------------------------------------------------------|-----------------
0.25150245	0.8269016231852955	[0.823, 0.831]	----------------------------------------------------------------------------------||----------------
0.25250447	0.8264554941285123	[0.823, 0.83]	----------------------------------------------------------------------------------||----------------
0.25350648	0.8247651419380951	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.2545085	0.8257702135531968	[0.822, 0.829]	----------------------------------------------------------------------------------|-----------------
0.2555105	0.8249870293986971	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.25651252	0.8237504562880468	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.25751454	0.8240648592470957	[0.82, 0.828]	----------------------------------------------------------------------------------|-----------------
0.25851655	0.8244330218067792	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.25951856	0.8245195615467562	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.26052058	0.823734552554553	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.2615226	0.8237342179919979	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.2625246	0.82512122321778	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.26352662	0.8247338318242322	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.26452863	0.8249037485444687	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.26553065	0.8230770718982318	[0.819, 0.827]	---------------------------------------------------------------------------------||-----------------
0.26653266	0.8247948682536038	[0.821, 0.829]	----------------------------------------------------------------------------------|-----------------
0.26753467	0.8219349687715417	[0.818, 0.826]	---------------------------------------------------------------------------------||-----------------
0.2685367	0.8231564203760278	[0.819, 0.827]	---------------------------------------------------------------------------------||-----------------
0.2695387	0.82447647621085	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.2705407	0.8244715549045615	[0.821, 0.828]	----------------------------------------------------------------------------------|-----------------
0.27154273	0.8234179037045655	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.27254474	0.822857246495579	[0.819, 0.827]	---------------------------------------------------------------------------------||-----------------
0.27354676	0.8234496200399932	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.27454877	0.8235532985361619	[0.82, 0.827]	----------------------------------------------------------------------------------|-----------------
0.27555078	0.8233386280628979	[0.819, 0.827]	---------------------------------------------------------------------------------||-----------------
0.2765528	0.8218526468867619	[0.818, 0.826]	---------------------------------------------------------------------------------||-----------------
0.2775548	0.8218224960012828	[0.818, 0.826]	---------------------------------------------------------------------------------||-----------------
0.27855682	0.8194152844643142	[0.816, 0.823]	---------------------------------------------------------------------------------||-----------------
0.27955884	0.8189245149590364	[0.815, 0.823]	---------------------------------------------------------------------------------||-----------------
0.28056085	0.8192648901573303	[0.815, 0.823]	---------------------------------------------------------------------------------||-----------------
0.28156286	0.8194768120954553	[0.816, 0.823]	---------------------------------------------------------------------------------||-----------------
0.28256488	0.820632111090435	[0.817, 0.824]	---------------------------------------------------------------------------------||-----------------
0.2835669	0.8193604194994962	[0.815, 0.823]	---------------------------------------------------------------------------------||-----------------
0.2845689	0.8194366933970716	[0.816, 0.823]	---------------------------------------------------------------------------------||-----------------
0.28557092	0.8179317948240846	[0.814, 0.822]	---------------------------------------------------------------------------------||-----------------
