Purity	Accuracy	a	b
0.30761522	0.8407909846658339	[0.806, 0.867]	----------------------------------------------------------------|--*-|----------
0.30861723	0.8508286176191212	[0.817, 0.876]	-----------------------------------------------------------------|--*-|---------
0.30961925	0.8469429084466549	[0.812, 0.872]	----------------------------------------------------------------|--*-|----------
0.31062126	0.8563491500490898	[0.823, 0.881]	-----------------------------------------------------------------|--*-|---------
0.31162328	0.8486565649436502	[0.814, 0.874]	-----------------------------------------------------------------|-*-|----------
0.3126253	0.846476470336532	[0.812, 0.872]	----------------------------------------------------------------|--*-|----------
0.3136273	0.8424110431902356	[0.808, 0.868]	----------------------------------------------------------------|--*-|----------
0.31462932	0.8543994627911191	[0.82, 0.879]	-----------------------------------------------------------------|--*-|---------
0.31563133	0.8481585520474897	[0.814, 0.874]	-----------------------------------------------------------------|-*-|----------
0.31663334	0.8465850372796867	[0.812, 0.872]	----------------------------------------------------------------|--*-|----------
0.31763536	0.8378753550350039	[0.803, 0.864]	----------------------------------------------------------------|--*-|----------
0.31863737	0.8484440319819926	[0.814, 0.874]	-----------------------------------------------------------------|-*-|----------
0.31963938	0.8490602244869354	[0.815, 0.874]	-----------------------------------------------------------------|-*-|----------
0.3206414	0.851624969926896	[0.817, 0.877]	-----------------------------------------------------------------|--*-|---------
0.3216434	0.8287237759913963	[0.793, 0.856]	---------------------------------------------------------------|--*-|-----------
0.32264543	0.8320800248468996	[0.797, 0.859]	---------------------------------------------------------------|--*-|-----------
0.32364744	0.8254574792873811	[0.789, 0.853]	---------------------------------------------------------------|--*-|-----------
0.32464945	0.8309166316230687	[0.795, 0.858]	---------------------------------------------------------------|--*-|-----------
0.32565147	0.8264525118274851	[0.791, 0.854]	---------------------------------------------------------------|--*-|-----------
0.32665348	0.822593146941735	[0.786, 0.85]	--------------------------------------------------------------|--*--|-----------
0.3276555	0.8251546518441766	[0.789, 0.852]	---------------------------------------------------------------|--*-|-----------
0.3286575	0.8378486133667681	[0.803, 0.864]	----------------------------------------------------------------|--*-|----------
0.32965952	0.8229814928768306	[0.787, 0.85]	--------------------------------------------------------------|--*--|-----------
0.33066154	0.8240132274412355	[0.788, 0.851]	---------------------------------------------------------------|-*--|-----------
0.33166355	0.8212862738089256	[0.785, 0.849]	--------------------------------------------------------------|--*-|------------
0.33266556	0.8269876397682348	[0.791, 0.854]	---------------------------------------------------------------|--*-|-----------
0.33366758	0.8253017974059169	[0.789, 0.853]	---------------------------------------------------------------|--*-|-----------
0.3346696	0.8234938834586781	[0.787, 0.851]	--------------------------------------------------------------|--*--|-----------
0.3356716	0.8183804990932337	[0.782, 0.846]	--------------------------------------------------------------|--*-|------------
0.33667362	0.8330342983064833	[0.798, 0.86]	---------------------------------------------------------------|--*-|-----------
0.33767563	0.8240612704632883	[0.788, 0.851]	---------------------------------------------------------------|-*--|-----------
0.33867764	0.8218087558141516	[0.786, 0.849]	--------------------------------------------------------------|--*-|------------
0.33967966	0.8258408642250287	[0.79, 0.853]	---------------------------------------------------------------|--*-|-----------
0.34068167	0.8220252638374239	[0.786, 0.85]	--------------------------------------------------------------|--*--|-----------
0.3416837	0.8272281098231258	[0.791, 0.854]	---------------------------------------------------------------|--*-|-----------
0.3426857	0.818662881520933	[0.782, 0.846]	--------------------------------------------------------------|--*-|------------
0.3436877	0.8305956041363635	[0.795, 0.857]	---------------------------------------------------------------|--*-|-----------
0.34468973	0.8185226895712633	[0.782, 0.846]	--------------------------------------------------------------|--*-|------------
0.34569174	0.8195464677967411	[0.783, 0.847]	--------------------------------------------------------------|--*-|------------
0.34669375	0.8233345253032684	[0.787, 0.851]	--------------------------------------------------------------|--*--|-----------
0.34769577	0.814936554089617	[0.778, 0.843]	--------------------------------------------------------------|--*-|------------
0.34869778	0.8219971576588893	[0.786, 0.85]	--------------------------------------------------------------|--*--|-----------
0.3496998	0.8118619643132684	[0.775, 0.84]	--------------------------------------------------------------|-*--|------------
0.3507018	0.8140715042180614	[0.777, 0.842]	--------------------------------------------------------------|--*-|------------
0.35170382	0.8234607556137847	[0.787, 0.851]	--------------------------------------------------------------|--*--|-----------
0.35270584	0.8200341434991802	[0.784, 0.848]	--------------------------------------------------------------|--*-|------------
0.35370785	0.806957390277	[0.77, 0.836]	-------------------------------------------------------------|--*-|-------------
0.35470986	0.8165104400309231	[0.78, 0.844]	--------------------------------------------------------------|--*-|------------
0.35571188	0.808186047539015	[0.771, 0.837]	-------------------------------------------------------------|--*-|-------------
0.3567139	0.8194042465153863	[0.783, 0.847]	--------------------------------------------------------------|--*-|------------
0.3577159	0.8165752459736084	[0.78, 0.845]	--------------------------------------------------------------|--*-|------------
0.35871792	0.8213009616271104	[0.785, 0.849]	--------------------------------------------------------------|--*-|------------
0.35971993	0.8206319422760641	[0.784, 0.848]	--------------------------------------------------------------|--*-|------------
0.36072195	0.8182279065259803	[0.782, 0.846]	--------------------------------------------------------------|--*-|------------
0.36172396	0.8118316214159166	[0.775, 0.84]	--------------------------------------------------------------|-*--|------------
0.36272597	0.8098422718786242	[0.773, 0.838]	-------------------------------------------------------------|--*--|------------
0.363728	0.8227074818581417	[0.787, 0.85]	--------------------------------------------------------------|--*--|-----------
0.36473	0.8087324887615934	[0.772, 0.837]	-------------------------------------------------------------|--*-|-------------
0.365732	0.8212610620944746	[0.785, 0.849]	--------------------------------------------------------------|--*-|------------
0.36673403	0.805990577457293	[0.769, 0.835]	-------------------------------------------------------------|--*-|-------------
0.36773604	0.8167774501762706	[0.78, 0.845]	--------------------------------------------------------------|--*-|------------
0.36873806	0.811235352878271	[0.774, 0.84]	-------------------------------------------------------------|--*--|------------
0.36974007	0.8115866757162395	[0.775, 0.84]	--------------------------------------------------------------|-*--|------------
0.37074208	0.8183932027905647	[0.782, 0.846]	--------------------------------------------------------------|--*-|------------
0.3717441	0.8163688214006769	[0.78, 0.844]	--------------------------------------------------------------|--*-|------------
0.3727461	0.8107137976522424	[0.774, 0.839]	-------------------------------------------------------------|--*--|------------
0.37374812	0.8162822211348204	[0.78, 0.844]	--------------------------------------------------------------|--*-|------------
0.37475014	0.8068925524971722	[0.77, 0.836]	-------------------------------------------------------------|--*-|-------------
0.37575215	0.8003062409766304	[0.763, 0.829]	-------------------------------------------------------------|--*-|-------------
0.37675416	0.8017022098838879	[0.764, 0.831]	-------------------------------------------------------------|--*-|-------------
0.37775618	0.809767796659643	[0.773, 0.838]	-------------------------------------------------------------|--*--|------------
0.3787582	0.8065298794808715	[0.769, 0.835]	-------------------------------------------------------------|--*-|-------------
0.3797602	0.8055886501839458	[0.768, 0.834]	-------------------------------------------------------------|--*-|-------------
0.38076222	0.8007193189155564	[0.763, 0.83]	-------------------------------------------------------------|--*-|-------------
0.38176423	0.799708557676525	[0.762, 0.829]	------------------------------------------------------------|--*--|-------------
0.38276625	0.8085715714796788	[0.772, 0.837]	-------------------------------------------------------------|--*-|-------------
0.38376826	0.8125437231962501	[0.776, 0.841]	--------------------------------------------------------------|--*-|------------
0.38477027	0.8012150367736948	[0.764, 0.83]	-------------------------------------------------------------|--*-|-------------
0.3857723	0.8076904956165636	[0.771, 0.836]	-------------------------------------------------------------|--*-|-------------
0.3867743	0.8030476126626586	[0.766, 0.832]	-------------------------------------------------------------|--*-|-------------
0.38777632	0.8118701137231121	[0.775, 0.84]	--------------------------------------------------------------|-*--|------------
0.38877833	0.8000119428823087	[0.763, 0.829]	-------------------------------------------------------------|--*-|-------------
0.38978034	0.7934922110757848	[0.756, 0.823]	------------------------------------------------------------|--*-|--------------
0.39078236	0.7991523402277446	[0.762, 0.828]	------------------------------------------------------------|--*--|-------------
0.39178437	0.80367930105488	[0.766, 0.833]	-------------------------------------------------------------|--*-|-------------
0.39278638	0.8095846310844175	[0.773, 0.838]	-------------------------------------------------------------|--*--|------------
0.3937884	0.7953017128565155	[0.758, 0.825]	------------------------------------------------------------|--*--|-------------
0.3947904	0.7949080368451439	[0.757, 0.824]	------------------------------------------------------------|--*-|--------------
0.39579242	0.7874826154262605	[0.749, 0.817]	-----------------------------------------------------------|--*--|--------------
0.39679444	0.805676060109731	[0.769, 0.834]	-------------------------------------------------------------|--*-|-------------
0.39779645	0.7955341559538615	[0.758, 0.825]	------------------------------------------------------------|--*--|-------------
0.39879847	0.7955153721520966	[0.758, 0.825]	------------------------------------------------------------|--*--|-------------
0.39980048	0.798080105162656	[0.761, 0.827]	------------------------------------------------------------|--*--|-------------
0.4008025	0.8066829852726861	[0.77, 0.835]	-------------------------------------------------------------|--*-|-------------
0.4018045	0.7987229557403817	[0.761, 0.828]	------------------------------------------------------------|--*--|-------------
0.40280652	0.8033460420967429	[0.766, 0.832]	-------------------------------------------------------------|--*-|-------------
0.40380853	0.8007970674782101	[0.763, 0.83]	-------------------------------------------------------------|--*-|-------------
0.40481055	0.7879249201007669	[0.75, 0.818]	------------------------------------------------------------|--*-|--------------
0.40581256	0.7994789605426139	[0.762, 0.829]	------------------------------------------------------------|--*--|-------------
0.40681458	0.791185185568791	[0.753, 0.821]	------------------------------------------------------------|--*-|--------------
0.4078166	0.7965315746176866	[0.759, 0.826]	------------------------------------------------------------|--*--|-------------
0.4088186	0.7807207335106265	[0.742, 0.811]	-----------------------------------------------------------|--*-|---------------
0.40982062	0.7929975123045212	[0.755, 0.823]	------------------------------------------------------------|--*-|--------------
0.41082263	0.7879892779833125	[0.75, 0.818]	------------------------------------------------------------|--*-|--------------
0.41182464	0.7899869476900478	[0.752, 0.82]	------------------------------------------------------------|--*-|--------------
0.41282666	0.7806123250492539	[0.742, 0.811]	-----------------------------------------------------------|--*-|---------------
0.41382867	0.7869342984606262	[0.749, 0.817]	-----------------------------------------------------------|--*--|--------------
0.41483068	0.784736284464445	[0.746, 0.815]	-----------------------------------------------------------|--*--|--------------
0.4158327	0.7930087493324298	[0.755, 0.823]	------------------------------------------------------------|--*-|--------------
0.4168347	0.7928636194740716	[0.755, 0.822]	------------------------------------------------------------|--*-|--------------
0.41783673	0.779273136028912	[0.741, 0.81]	-----------------------------------------------------------|--*-|---------------
0.41883874	0.7756908799049145	[0.737, 0.806]	----------------------------------------------------------|---*-|---------------
0.41984075	0.7897327285605625	[0.752, 0.82]	------------------------------------------------------------|--*-|--------------
0.42084277	0.778949475146008	[0.74, 0.809]	-----------------------------------------------------------|--*-|---------------
0.42184478	0.7815446507787489	[0.743, 0.812]	-----------------------------------------------------------|--*-|---------------
0.4228468	0.7679290473891904	[0.729, 0.799]	----------------------------------------------------------|--*-|----------------
0.4238488	0.7648373227348139	[0.726, 0.796]	----------------------------------------------------------|--*-|----------------
0.42485082	0.7742853673068658	[0.736, 0.805]	----------------------------------------------------------|--*--|---------------
0.42585284	0.7644975661147777	[0.725, 0.796]	----------------------------------------------------------|--*-|----------------
0.42685485	0.7702962868035481	[0.731, 0.801]	----------------------------------------------------------|--*--|---------------
0.42785686	0.7776721959878218	[0.739, 0.808]	-----------------------------------------------------------|--*-|---------------
0.42885888	0.7737856710071179	[0.735, 0.805]	----------------------------------------------------------|--*--|---------------
0.4298609	0.7770483747559724	[0.738, 0.808]	-----------------------------------------------------------|--*-|---------------
0.4308629	0.7657427543521632	[0.727, 0.797]	----------------------------------------------------------|--*-|----------------
0.43186492	0.7645966719413928	[0.725, 0.796]	----------------------------------------------------------|--*-|----------------
0.43286693	0.7653219116079232	[0.726, 0.797]	----------------------------------------------------------|--*-|----------------
0.43386894	0.7572952020452992	[0.718, 0.789]	---------------------------------------------------------|--*--|----------------
0.43487096	0.7673836358866725	[0.728, 0.799]	----------------------------------------------------------|--*-|----------------
0.43587297	0.7534442210991708	[0.714, 0.785]	---------------------------------------------------------|--*-|-----------------
0.436875	0.7564265148748371	[0.717, 0.788]	---------------------------------------------------------|--*--|----------------
0.437877	0.7527693878685213	[0.713, 0.785]	---------------------------------------------------------|--*-|-----------------
0.438879	0.7451262006273038	[0.705, 0.778]	--------------------------------------------------------|--*--|-----------------
0.43988103	0.7556852139262904	[0.716, 0.788]	---------------------------------------------------------|--*--|----------------
0.44088304	0.7644084708877846	[0.725, 0.796]	----------------------------------------------------------|--*-|----------------
0.44188505	0.7371202712758647	[0.697, 0.77]	-------------------------------------------------------|--*--|------------------
0.44288707	0.7442530273395378	[0.704, 0.777]	--------------------------------------------------------|--*--|-----------------
0.44388908	0.7435870096595913	[0.703, 0.776]	--------------------------------------------------------|--*--|-----------------
0.4448911	0.7256741427603187	[0.685, 0.759]	------------------------------------------------------|---*-|-------------------
0.4458931	0.7200122464429421	[0.679, 0.754]	------------------------------------------------------|--*--|-------------------
0.44689512	0.7277156708023118	[0.687, 0.761]	------------------------------------------------------|---*-|-------------------
0.44789714	0.7229749128712464	[0.682, 0.757]	------------------------------------------------------|--*--|-------------------
0.44889915	0.7259384061362109	[0.685, 0.759]	------------------------------------------------------|---*-|-------------------
0.44990116	0.7337569071915203	[0.693, 0.767]	-------------------------------------------------------|--*--|------------------
0.45090318	0.7330324475824225	[0.693, 0.766]	-------------------------------------------------------|--*--|------------------
0.4519052	0.7205488424791293	[0.68, 0.754]	------------------------------------------------------|--*--|-------------------
0.4529072	0.7375908622289261	[0.697, 0.77]	-------------------------------------------------------|---*-|------------------
0.45390922	0.6724992580545297	[0.63, 0.708]	--------------------------------------------------|--*--|-----------------------
0.45491123	0.6724006014722188	[0.63, 0.708]	--------------------------------------------------|--*--|-----------------------
0.45591325	0.6540546104575229	[0.611, 0.69]	------------------------------------------------|---*--|------------------------
0.45691526	0.6561259505226843	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.45791727	0.6645942211603657	[0.622, 0.701]	-------------------------------------------------|---*--|-----------------------
0.4589193	0.6683801494149596	[0.626, 0.704]	--------------------------------------------------|--*--|-----------------------
0.4599213	0.6589316076615471	[0.616, 0.695]	-------------------------------------------------|--*--|------------------------
0.4609233	0.6633481813036256	[0.621, 0.699]	-------------------------------------------------|---*-|------------------------
0.46192533	0.6599397108584336	[0.617, 0.696]	-------------------------------------------------|--*--|------------------------
0.46292734	0.6530858115355519	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.46392936	0.6641583513975758	[0.622, 0.7]	-------------------------------------------------|---*--|-----------------------
0.46493137	0.660277257151023	[0.618, 0.696]	-------------------------------------------------|--*--|------------------------
0.46593338	0.6552424613931627	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.4669354	0.654613441892178	[0.612, 0.691]	------------------------------------------------|---*--|------------------------
0.4679374	0.652858260628989	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.46893942	0.646202124014764	[0.603, 0.683]	------------------------------------------------|--*--|-------------------------
0.46994144	0.652619475921568	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.47094345	0.6545279853819586	[0.612, 0.691]	------------------------------------------------|---*--|------------------------
0.47194546	0.647930564766851	[0.605, 0.684]	------------------------------------------------|--*--|-------------------------
0.47294748	0.6522258125359276	[0.609, 0.689]	------------------------------------------------|---*--|------------------------
0.4739495	0.6493905607763488	[0.607, 0.686]	------------------------------------------------|--*--|-------------------------
0.4749515	0.6560111706487975	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.47595352	0.65815421669791	[0.616, 0.694]	-------------------------------------------------|--*--|------------------------
0.47695553	0.6525455057904426	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.47795755	0.6501292385560276	[0.607, 0.687]	------------------------------------------------|---*-|-------------------------
0.47895956	0.6483501513728358	[0.606, 0.685]	------------------------------------------------|--*--|-------------------------
0.47996157	0.6463332447534342	[0.603, 0.683]	------------------------------------------------|--*--|-------------------------
0.4809636	0.6530760020617753	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.4819656	0.655612189193094	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.48296762	0.6446296625015083	[0.602, 0.681]	------------------------------------------------|--*--|-------------------------
0.48396963	0.655779460334244	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.48497164	0.6597680650536955	[0.617, 0.696]	-------------------------------------------------|--*--|------------------------
0.48597366	0.6535100357786707	[0.611, 0.69]	------------------------------------------------|---*--|------------------------
0.48697567	0.6572106253714007	[0.615, 0.693]	-------------------------------------------------|--*--|------------------------
0.48797768	0.6484217179032017	[0.606, 0.685]	------------------------------------------------|--*--|-------------------------
0.4889797	0.65593030457057	[0.613, 0.692]	-------------------------------------------------|--*--|------------------------
0.4899817	0.6599760763720176	[0.617, 0.696]	-------------------------------------------------|--*--|------------------------
0.49098372	0.6523196226929854	[0.61, 0.689]	------------------------------------------------|---*--|------------------------
0.49198574	0.650446374856839	[0.608, 0.687]	------------------------------------------------|---*-|-------------------------
0.49298775	0.6544052850975838	[0.612, 0.691]	------------------------------------------------|---*--|------------------------
0.49398977	0.6592552227600618	[0.617, 0.695]	-------------------------------------------------|--*--|------------------------
0.49499178	0.6583813046894745	[0.616, 0.695]	-------------------------------------------------|--*--|------------------------
0.4959938	0.6550031972910285	[0.612, 0.691]	------------------------------------------------|---*--|------------------------
0.4969958	0.6497704856766293	[0.607, 0.686]	------------------------------------------------|--*--|-------------------------
0.49799782	0.6543772610386939	[0.612, 0.691]	------------------------------------------------|---*--|------------------------
0.49899983	0.6504860667299714	[0.608, 0.687]	------------------------------------------------|---*-|-------------------------
