Purity	Accuracy	a	b
0.030260585	0.8886842091282513	[0.858, 0.91]	--------------------------------------------------------------------|--*|-------
0.030360786	0.9022704229800426	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.030460987	0.8983099456590068	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.030561188	0.898507046875541	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.03066139	0.8896704746399402	[0.859, 0.911]	--------------------------------------------------------------------|--*|-------
0.03076159	0.8925285390875959	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.030861791	0.8935687424976055	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.030961992	0.8973739761071021	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.031062193	0.903928460268792	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.031162394	0.8898433008647513	[0.859, 0.911]	--------------------------------------------------------------------|--*|-------
0.031262595	0.9067927496603855	[0.878, 0.926]	----------------------------------------------------------------------|-*-|-----
0.031362794	0.8927354108100383	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.031462993	0.9056636618456332	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.031563193	0.8979014085957533	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.03166339	0.8909912963582315	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.03176359	0.9058880728471138	[0.877, 0.925]	----------------------------------------------------------------------|-*-|-----
0.03186379	0.8937884202752966	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.03196399	0.889508004458553	[0.859, 0.911]	--------------------------------------------------------------------|--*|-------
0.03206419	0.90580720155548	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.032164387	0.8969123399822265	[0.867, 0.917]	---------------------------------------------------------------------|-*-|------
0.032264587	0.892471119663897	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.032364786	0.8953459745709625	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.032464985	0.9029028625747182	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.032565184	0.8962973329700368	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.032665383	0.9073939643078175	[0.878, 0.927]	----------------------------------------------------------------------|-*-|-----
0.032765582	0.9132919843445685	[0.885, 0.932]	----------------------------------------------------------------------|--*|-----
0.03286578	0.9095343054850509	[0.881, 0.929]	----------------------------------------------------------------------|-*-|-----
0.03296598	0.8996817476877215	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.03306618	0.8967804492930236	[0.867, 0.917]	---------------------------------------------------------------------|-*-|------
0.03316638	0.902931582793239	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.033266578	0.9085579798526526	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.033366777	0.9008041620330108	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.033466976	0.9064150394500582	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.033567175	0.8980584851837503	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.033667374	0.885823179494883	[0.854, 0.908]	--------------------------------------------------------------------|-*-|-------
0.033767574	0.9031117455862951	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.033867773	0.9031613251604329	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.03396797	0.8863628189902142	[0.855, 0.908]	--------------------------------------------------------------------|-*-|-------
0.03406817	0.8990954508710316	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.03416837	0.8944618435705779	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.03426857	0.9013647063531011	[0.872, 0.921]	---------------------------------------------------------------------|--*|------
0.03436877	0.8965863710038466	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.034468967	0.8988246750271102	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.034569167	0.9020675690273094	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.034669366	0.9008892245385118	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.034769565	0.8996414003668802	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.034869764	0.8952729199229772	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.034969963	0.9023880558024285	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.035070162	0.9047443117126347	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.03517036	0.8988588251096066	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.03527056	0.9039822618701453	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.03537076	0.9050990757387657	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.03547096	0.8974999271557803	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.035571158	0.8915438254142396	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.035671357	0.9056352598744362	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.035771556	0.9030626810245791	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.035871755	0.9020966033084452	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.035971954	0.8961678392055016	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.036072154	0.9036402280807301	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.036172353	0.8926572263249608	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.036272552	0.9002841608713661	[0.87, 0.92]	---------------------------------------------------------------------|--*|------
0.03637275	0.9014480597472871	[0.872, 0.921]	---------------------------------------------------------------------|--*|------
0.03647295	0.8959677043611411	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.03657315	0.9024233720124388	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.03667335	0.8890230750668249	[0.858, 0.91]	--------------------------------------------------------------------|--*|-------
0.036773548	0.9010894379453249	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.036873747	0.8978756903920149	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.036973946	0.8991869673257334	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.037074145	0.9053257181008126	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.037174344	0.9023379151681147	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.037274543	0.8922493097125901	[0.862, 0.913]	--------------------------------------------------------------------|--*-|------
0.037374742	0.9082150194241874	[0.879, 0.927]	----------------------------------------------------------------------|-*-|-----
0.03747494	0.8989141977248812	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.03757514	0.8945931923476956	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.03767534	0.8944565262659268	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.03777554	0.8872209779205481	[0.856, 0.909]	--------------------------------------------------------------------|-*-|-------
0.037875738	0.8994228926125035	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.037975937	0.8983997661086109	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.038076136	0.8932039677345286	[0.863, 0.914]	---------------------------------------------------------------------|-*-|------
0.038176335	0.898994161779159	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.038276535	0.9015164085079856	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.038376734	0.9090864951533498	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.038476933	0.9017550757743312	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.038577132	0.9039145960757335	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.03867733	0.9080279809895535	[0.879, 0.927]	----------------------------------------------------------------------|-*-|-----
0.03877753	0.8995986383476315	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.03887773	0.8974667005536359	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.03897793	0.9083689398132537	[0.879, 0.928]	----------------------------------------------------------------------|-*-|-----
0.039078128	0.8917898275736401	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.039178327	0.9046818095797543	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.039278526	0.8963422204189145	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.039378725	0.9040098702041492	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.039478924	0.8987611272797601	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.039579123	0.9060407975327971	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.039679322	0.8977882652679628	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.03977952	0.9014747866440086	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.03987972	0.8988867746290581	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.03997992	0.9016866734350871	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.04008012	0.8981958321604407	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.040180318	0.9028804259048174	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.040280517	0.8993612395889276	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.040380716	0.9003812632751163	[0.87, 0.921]	---------------------------------------------------------------------|--*|------
0.040480915	0.9014527780853459	[0.872, 0.921]	---------------------------------------------------------------------|--*|------
0.040581115	0.9106488459390639	[0.882, 0.93]	----------------------------------------------------------------------|-*-|-----
0.040681314	0.9014254549689494	[0.872, 0.921]	---------------------------------------------------------------------|--*|------
0.040781513	0.9041983097635277	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.040881712	0.9060297329109256	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.04098191	0.8982179807750098	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.04108211	0.9031912984758382	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.04118231	0.9048478921573699	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.04128251	0.8980409278605139	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.041382708	0.8963873450223738	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.041482907	0.9087980526899495	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.041583106	0.8947705728658009	[0.864, 0.916]	---------------------------------------------------------------------|-*-|------
0.041683305	0.8912064554692225	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.041783504	0.8971096076490772	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.041883703	0.8991356859341234	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.041983902	0.9025683651978085	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.0420841	0.8881060699119376	[0.857, 0.91]	--------------------------------------------------------------------|--*|-------
0.0421843	0.8963272273683011	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.0422845	0.9063383224941547	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.0423847	0.9015779415672849	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.042484898	0.9074530343926771	[0.878, 0.927]	----------------------------------------------------------------------|-*-|-----
0.042585097	0.8960806237970562	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.042685296	0.9071089878859341	[0.878, 0.926]	----------------------------------------------------------------------|-*-|-----
0.042785496	0.9145463772655185	[0.886, 0.933]	----------------------------------------------------------------------|--*|-----
0.042885695	0.8916251253975606	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.042985894	0.9057572852641169	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.043086093	0.8952095029881677	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.043186292	0.8934309344781005	[0.863, 0.914]	---------------------------------------------------------------------|-*-|------
0.04328649	0.9070730055992878	[0.878, 0.926]	----------------------------------------------------------------------|-*-|-----
0.04338669	0.8982394953071136	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.04348689	0.9069947582532556	[0.878, 0.926]	----------------------------------------------------------------------|-*-|-----
